"Appearance","Appearance"
"Behavior","Behavior"
"Content","Content"
"Features","Features"
"Advanced / self-hosting","Advanced / self-hosting"
"Position","Position"
"Where the floating button appears.","Where the floating button appears."
"Horizontal offset (px)","Horizontal offset (px)"
"Distance from the screen edge.","Distance from the screen edge."
"Vertical offset (px)","Vertical offset (px)"
"z-index","z-index"
"Stacking order of the widget. Increase if it sits behind other elements.","Stacking order of the widget. Increase if it sits behind other elements."
"Brand color","Brand color"
"Color of the floating button.","Color of the floating button."
"Language","Language"
"Widget UI language. ""Auto"" detects the browser/page language.","Widget UI language. ""Auto"" detects the browser/page language."
"Button label","Button label"
"Accessible label for the button. Empty uses the localized default.","Accessible label for the button. Empty uses the localized default."
"Draggable button","Draggable button"
"Let visitors drag the button to reposition it.","Let visitors drag the button to reposition it."
"Respect reduced motion","Respect reduced motion"
"Honor the visitor's prefers-reduced-motion setting.","Honor the visitor's prefers-reduced-motion setting."
"Hide on print","Hide on print"
"Hide the widget on printed pages.","Hide the widget on printed pages."
"Keyboard shortcut","Keyboard shortcut"
"Shortcut to open the widget (e.g. ctrl+alt+a). Empty disables it.","Shortcut to open the widget (e.g. ctrl+alt+a). Empty disables it."
"Storage key","Storage key"
"localStorage key for saved visitor preferences. Change only to avoid conflicts.","localStorage key for saved visitor preferences. Change only to avoid conflicts."
"Hide ""powered by""","Hide ""powered by"""
"Hide the provider credit in the widget panel.","Hide the provider credit in the widget panel."
"Debug logging","Debug logging"
"Log diagnostic messages to the browser console.","Log diagnostic messages to the browser console."
"Accessibility statement URL","Accessibility statement URL"
"Link to your accessibility statement.","Link to your accessibility statement."
"Disclaimer text","Disclaimer text"
"Short note shown in the widget panel.","Short note shown in the widget panel."
"Asset base URL","Asset base URL"
"Empty loads from the BAUER GROUP CDN (recommended, always current). Set only to self-host/mirror.","Empty loads from the BAUER GROUP CDN (recommended, always current). Set only to self-host/mirror."
"Core script URL","Core script URL"
"Overrides the derived core bundle URL. Advanced self-hosting only.","Overrides the derived core bundle URL. Advanced self-hosting only."
"Stylesheet URL","Stylesheet URL"
"Overrides the derived stylesheet URL. Advanced self-hosting only.","Overrides the derived stylesheet URL. Advanced self-hosting only."
"Core SRI hash","Core SRI hash"
"Subresource Integrity hash for a pinned core URL. Only with a fixed self-hosted version.","Subresource Integrity hash for a pinned core URL. Only with a fixed self-hosted version."
"Stylesheet SRI hash","Stylesheet SRI hash"
"Subresource Integrity hash for a pinned stylesheet URL.","Subresource Integrity hash for a pinned stylesheet URL."
"Per-feature default state. ""Hidden"" removes the feature from the panel.","Per-feature default state. ""Hidden"" removes the feature from the panel."
"Font size","Font size"
"Line height","Line height"
"Letter spacing","Letter spacing"
"Contrast","Contrast"
"Grayscale","Grayscale"
"Invert colors","Invert colors"
"Dyslexia font","Dyslexia font"
"Highlight links","Highlight links"
"Pause animations","Pause animations"
"Big cursor","Big cursor"
"Focus outline","Focus outline"
"Reading mask","Reading mask"
"Reading guide","Reading guide"
"Text to speech","Text to speech"
"Structure navigation","Structure navigation"
"Default (widget decides)","Default (widget decides)"
"On by default","On by default"
"Off by default","Off by default"
"Hidden","Hidden"
